ODO,QTY,CHRONO1,MILES
273458,59.46,20118,251
273661,40.03,20132,203
273809,3.14,20142,148
273809,33.66,20142,0
274021,51.16,20158,212
274211,39.96,20171,190
274421,36.26,20187,210
274673,70.58,20204,252
274880,42.08,20219,207
274880,0.83,20219,0
274880,0.78,20219,0
275044,53.96,20233,164
275277,48.67,20250,233
275487,51.21,20266,210
275681,48.21,20279,194
276016,60.68,20304,335
276464,97.62,20336,448
276718,54.7,20354,254
276963,37.21,20373,245
276963,13.01,20373,0
277172,6.11,20388,209
277172,38.27,20388,0
277174,12.74,20390,2
277445,56.19,20412,271
277635,51.8,20425,190
277806,55.31,20443,171
278075,64.16,20463,269
278233,33.1,20475,158
278578,73.15,20503,345
278846,61.19,20522,268
279001,34.92,20533,155
279098,33.49,20540,97
279351,29.04,20558,253
279452,41.87,20569,101
279706,56.54,20588,254
279895,38.6,20602,189
280025,45.31,20612,130
280166,32.7,20622,141
280287,30.65,20633,121
280516,50.52,20651,229
280794,63.82,20671,278
281062,45.07,20689,268
281316,48.96,20707,254
281545,82.85,20726,229
281647,23.98,20736,102
281840,33.57,20751,193
281840,0.23,20751,0
282009,54.14,20764,169
282252,52.16,20784,243
282403,36.95,20796,151
282608,45.87,20812,205
282899,71.99,20831,291
283314,102.13,20860,415
283532,58.39,20878,218
283683,29.17,20889,151
283833,30.42,20899,150
284101,33.14,20919,268
284369,88.55,20939,268
284463,30.86,20948,94
284661,31.73,20966,198
284881,64.26,20986,220
285027,44.79,20997,146
285278,60.93,21016,251
285500,43.56,21030,222
285771,69.28,21051,271
285938,24.37,21063,167
286115,57.64,21076,177
286422,65,21096,307
286722,63.46,21118,300
286841,37.14,21128,119
287037,47.3,21142,196
287220,44.87,21158,183
287333,27.98,21168,113
287515,26.85,21182,182
287810,44.3,21201,295
287810,16.99,21201,0
287926,44.4,21209,116
288142,50.89,21224,216
288319,43.71,21239,177
288597,61.52,21260,278
288836,40.93,21279,239
289091,49.4,21297,255
289237,43.43,21308,146
289332,40.81,21320,95
289550,48.1,21335,218
289796,58.99,21353,246
290050,59.67,21371,254
290249,51.5,21386,199
290426,36,21399,177
290566,42.48,21413,140
290785,47.23,21430,219
291012,62.75,21447,227
291211,5.06,21467,199
291211,50.24,21467,0
291464,64.33,21485,253
291710,3.85,21508,246
291710,61.07,21508,0
291805,26.62,21521,95
291987,43.77,21536,182
292202,57.93,21554,215
292414,50.88,21568,212
292630,55.4,21584,216
292858,56.49,21603,228
293080,58.15,21619,222
293397,64.74,21644,317
293697,76.39,21662,300
294138,38.08,21691,441
294402,64.95,21709,264
294712,63.06,21728,310
295013,65.88,21746,301
295312,61.99,21770,299
295565,80.5,21787,253
295821,44.76,21806,256
296050,61.95,21826,229
296410,96.87,21853,360
296526,40.58,21864,116
296945,71.61,21893,419
297005,45.29,21899,60
297266,50.57,21917,261
297519,63.5,21934,253
297688,49.76,21947,169
297933,61.86,21971,245
298130,46.98,21986,197
298349,50.17,22000,219
298521,42.55,22013,172
298814,70.83,22036,293
299030,52.74,22051,216
299260,53.25,22068,230
299429,47.61,22083,169
299696,67.24,22100,267
299917,57.87,22119,221
300183,54.73,22138,266
300415,50.21,22156,232
300704,65.66,22174,289
301179,53.3,22207,475
301326,36.4,22219,147
301545,48.62,22233,219
301679,36.3,22244,134
301809,39.67,22254,130
302022,53.38,22274,213
302151,35.15,22284,129
302546,86.86,22316,395
302758,52.43,22332,212
303049,75.13,22356,291
303406,78.55,22386,357
303648,55.96,22405,242
303861,58.98,22420,213
304116,47.34,22440,255
304330,67.06,22455,214
304573,50.55,22474,243
304846,74.78,22495,273
305123,76.34,22517,277
305367,58.52,22534,244
305620,62.83,22554,253
305833,43.69,22568,213
306107,73.61,22587,274
306376,65.92,22606,269
306598,49.83,22620,222
306729,34.49,22631,131
306896,40.13,22644,167
307133,55.66,22663,237
307337,61.15,22680,204
307594,61.64,22699,257
307855,65.49,22718,261
308096,58.45,22739,241
308277,45.09,22755,181
308564,64.06,22773,287
308858,64.13,22792,294
308992,38.95,22803,134
309136,41.61,22815,144
309241,2.8,22823,105
309241,14.79,22823,0
309462,39.71,22841,221
309688,65.01,22856,226
309941,61.76,22874,253
310299,56.43,22897,358
310426,48.53,22912,127
310632,60.06,22929,206
310840,48.02,22944,208
311095,59.23,22962,255
311354,63.72,22980,259
311620,44.19,22999,266
311770,48.8,23010,150
312024,56.82,23028,254
312228,36.49,23043,204
312557,87.55,23064,329
312810,59.97,23083,253
313066,62.04,23100,256
313174,13.68,23108,108
313174,12.69,23108,0
313427,63.61,23127,253
313743,27.31,23149,316
313968,75.1,23163,225
314136,62.49,23175,168
314347,40.92,23192,211
314450,28.79,23198,103
314583,23.26,23208,133
314856,67.39,23227,273
315017,46.21,23241,161
315120,33.36,23252,103
315256,24.69,23263,136
315469,53.67,23279,213
315686,54.51,23297,217
315932,55.63,23315,246
316008,17.92,23322,76
316210,51.56,23342,202
316324,24.05,23352,114
316463,42.04,23362,139
316649,41.51,23376,186
316932,35.21,23401,283
317101,32.16,23414,169
317342,59.97,23434,241
317523,43.16,23449,181
317692,42.08,23461,169
317941,53.71,23478,249
318204,58.61,23497,263
318382,37.36,23510,178
318532,34.81,23521,150
318712,55.21,23536,180
318891,46.41,23551,179
319110,46.69,23567,219
319314,29.9,23582,204
319314,13.11,23582,0
319350,22.98,23588,36
319564,48.65,23604,214
319815,53.19,23622,251
319945,31.45,23632,130
320150,39.79,23648,205
320450,82.73,23672,300
320655,44.76,23688,205
321114,54.65,23723,459
321261,40.54,23736,147
321410,34.99,23747,149
321635,59.3,23764,225
321750,2.5,23773,115
321934,56.98,23788,184
322105,46.79,23800,171
322353,5.37,23819,248
322353,43.7,23819,0
322429,13.436,23828,76
322677,43.94,23848,248
322968,65.63,23870,291
323022,24.31,23874,54
323241,49.2,23893,219
323481,49.67,23913,240
323631,46.38,23925,150
323770,34.25,23937,139
324017,38.12,23956,247
324017,3.69,23956,0
324017,17.7,23956,0
324201,50.51,23969,184
324424,47.85,23986,223
324594,37.95,23999,170
324850,60.18,24017,256
325032,37.74,24031,182
325144,23.6,24046,112
325272,39.7,24056,128
325370,34.15,24064,98
325591,52.51,24084,221
325740,37.99,24095,149
325980,64.33,24113,240
326146,29.16,24127,166
326427,71.98,24147,281
326634,50.12,24164,207
326835,23.83,24181,201
326835,2.28,24181,0
326835,1.94,24181,0
326835,16.94,24181,0
327089,79.12,24207,254
327352,56.22,24225,263
327668,81.52,24249,316
327900,37.85,24260,232
328179,51.19,24275,279
328364,47.34,24288,185
328655,71.8,24310,291
328800,48.16,24323,145
329077,60.37,24345,277
329325,59.34,24363,248
329518,57.09,24379,193
329781,62.86,24403,263
330067,66.4,24424,286
330344,67.33,24445,277
330675,76.43,24471,331
330980,66.35,24496,305
331113,47.99,24507,133
331392,57.46,24526,279
331594,47.04,24544,202
331988,92.37,24572,394
332133,41.26,24583,145
332252,37.01,24593,119
332512,63.72,24614,260
332765,57.28,24631,253
332981,53.87,24647,216
333240,65.69,24669,259
333551,45.04,24692,311
333551,19.77,24692,0
333760,68.85,24711,209
334013,59.49,24730,253
334203,51.33,24744,190
334467,41.96,24763,264
334649,39.4,24777,182
334796,48.26,24789,147
334804,24.49,24799,8
335136,75.51,24822,332
335327,2.62,24834,191
335327,48.04,24834,0
335683,67.42,24859,356
335956,70.44,24878,273
336187,61.51,24899,231
336373,54.05,24914,186
336691,65.14,24935,318
336994,60.37,24962,303
337119,49.4,24972,125
337277,33.43,24984,158
337424,45.76,24997,147
337636,55.99,25011,212
337914,0.33,25031,278
337914,49.02,25031,0
338110,58.72,25044,196
338408,73.71,25070,298
338670,57.35,25088,262
338944,80.12,25113,274
339121,50.85,25125,177
339462,69.03,25147,341
339658,52.54,25161,196
339916,58.98,25180,258
340130,48.3,25194,214
340319,50.4,25209,189
340581,66,25232,262
340858,59.76,25249,277
341117,53.82,25267,259
341340,49.93,25286,223
341692,99.03,25319,352
341957,59.69,25339,265
342140,54.79,25353,183
342473,75.94,25382,333
342832,79.67,25407,359
343055,75.73,25427,223
343297,57.84,25446,242
343539,53.92,25464,242
343797,59.28,25483,258
343981,27.83,25498,184
344240,74.69,25516,259
344428,43.13,25530,188
344724,75.62,25554,296
344909,47.7,25570,185
345057,26.64,25583,148
345057,12.15,25583,0
345344,62.05,25607,287
345456,36.02,25616,112
345869,2.93,25647,413
345869,86.09,25647,0
346072,43.96,25661,203
346349,56.7,25675,277
346583,61.49,25696,234
346863,55.8,25714,280
347266,46.29,25742,403
347266,44.06,25742,0
347532,65.62,25761,266
347763,60.57,25780,231
347986,55.45,25796,223
348279,46.21,25818,293
348530,81.95,25837,251
348773,69.83,25862,243
349054,74.78,25881,281
349298,63.19,25898,244
349695,69.49,25927,397
349864,54.67,25942,169
350321,53.24,25976,457
350488,47.18,25989,167
350629,34.4,26002,141
350848,44.4,26020,219
351023,44.87,26033,175
351236,41.94,26048,213
351470,54.88,26067,234
351608,39.65,26077,138
351938,71.11,26102,330
352160,55.65,26120,222
352344,43.23,26136,184
352583,53.78,26155,239
352775,40.05,26171,192
352957,52.58,26185,182
353222,45.78,26203,265
353222,8.57,26203,0
353439,33.26,26219,217
353439,22.19,26219,0
353625,37.59,26234,186
353880,50.33,26252,255
354018,28.58,26262,138
354018,16.27,26262,0
354302,40.23,26282,284
354302,15.33,26282,0
354628,10.43,26308,326
354628,60.11,26308,0
354804,41.73,26320,176
355073,45.48,26338,269
355329,63.15,26356,256
355437,28.21,26367,108
355705,59.23,26387,268
355950,54.08,26406,245
356158,68.68,26433,208
356279,31.93,26443,121
356727,57.23,26481,448
356828,32.55,26490,101
357052,49.55,26507,224
357180,34.56,26521,128
357326,32.96,26532,146
357531,48.6,26551,205
357648,28.58,26561,117
357922,56.96,26580,274
358063,35.52,26591,141
358183,32.47,26602,120
358354,6.61,26617,171
358354,35.6,26617,0
358606,58.53,26636,252
358793,45.03,26651,187
359001,51.06,26668,208
359179,48.25,26689,178
359415,51.05,26709,236
359463,16.87,26714,48
359681,43.39,26731,218
359819,33.76,26744,138
360067,12.89,26763,248
360067,45.21,26763,0
360323,61.87,26782,256
360459,0.64,26806,136
360459,37.61,26806,0
